,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Diversity_Index,Students_with_Disabilities,Staff,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,School_Type,income
36676800000000_577,0.32,0.17,73.73,0,26.1,35.6,1994,130821,57,0.61,16,10.86,25.74,34.44,45.18,6.45,1,1,1,Prop. 39 School,high income
33751900000000_599,0.32,0,18.26,0,81.74,40.85,2005,135463,24,0.63,16,21.29,32.21,31.72,35.76,20.65,1,1,1,Prop. 39 School,high income
33751900000000_600,0.32,0,69.95,0,30.05,39.34,2005,113750,24,0.63,13,21.29,32.95,31.72,30.7,20.65,1,1,1,Prop. 39 School,high income
30665600000000_900,0.32,12.66,44.75,0,42.59,29.18,1953,234821,19,0.63,27.5,23.22,15.45,22.48,54.85,18,1,1,1,Prop. 39 School,high income
30739200000000_1039,0.32,0,100,0,0,35.08,1934,145714,11,0.61,83,16.83,28.31,22.48,58.2,3.45,1,1,1,Prop. 39 School,high income
33751900000000_3397,0.32,0,99.45,0,0.55,37.16,2003,112344,24,0.61,1523.5,18.28,24.24,31.72,34.38,14.6,1,1,1,Prop. 39 School,high income
30665600000000_103,0.33,0,100,0,0,38.22,1998,128080,19,0.63,241,12.38,47.28,22.48,49.29,23.45,1,1,1,Prop. 39 School,high income
30736400000000_1027,0.33,0,97.64,1.18,1.18,38.22,1960,155060,45,0.63,16,50.7,38.17,22.48,31.97,5.85,1,1,1,Prop. 39 School,high income
30736400000000_1028,0.33,0,100,0,1.47,38.22,1993,155060,45,0.63,241,50.7,38.17,22.48,31.97,5.85,1,1,1,Prop. 39 School,high income
19647300000000_1084,0.33,0,97.97,0,2.03,35.79,1993,138005,80,0.61,241,9.85,23.8,34.92,42.41,15.05,1,1,1,Prop. 39 School,high income
19647300000000_1085,0.33,0,71.24,0,27.03,35.79,2015,138005,80,0.63,241,9.85,23.8,34.92,42.41,15.05,1,1,1,Prop. 39 School,high income
19645800000000_1132,0.33,0,99.36,0,0.64,36.58,1951,126818,28,0.63,13,52.66,32.65,34.92,36.46,10.65,1,1,1,Prop. 39 School,high income
30736400000000_1273,0.33,0,99.89,0,0.11,37.21,2015,155060,45,0.63,220,19.18,38.17,22.48,31.97,4.2,1,1,1,Prop. 39 School,high income
30736400000000_1291,0.33,0,100,0,0,37.91,1995,155060,45,0.63,241,8.22,38.17,22.48,31.97,68.15,1,1,1,Prop. 39 School,high income
30736400000000_1587,0.33,0,97.3,0.24,2.47,35.59,2001,176500,45,0.63,241,11.83,25.69,22.48,36.19,9.9,1,1,1,Prop. 39 School,high income
19648300000000_1934,0.33,0,100,0,0,40.02,1995,137885,73,0.63,241,10.58,29.44,34.92,36.63,7.3,1,1,1,Prop. 39 School,high income
33751900000000_2901,0.33,0,90.61,0,9.39,37.59,1996,123023,24,0.56,278.5,7.81,32.95,31.72,29.83,96.65,1,1,1,Prop. 39 School,high income
33751900000000_2902,0.33,0,94.32,0,5.68,37.45,2015,123023,24,0.57,241,7.81,32.95,31.72,29.83,96.65,1,1,1,Prop. 39 School,high income
19648300000000_3296,0.33,0,93.14,0,6.86,38.42,1995,227644,73,0.63,464,10.1,21,34.92,23.85,3.3,1,1,1,Prop. 39 School,high income
19647300000000_3498,0.33,0,100,0,0,36.61,2015,121597,80,0.61,241,10.4,27.84,34.92,48.92,23.35,1,1,1,Prop. 39 School,high income
56725500000000_341,0.34,0,98.33,0,1.67,36.86,2007,142333,25,0.63,205,14.9,36.53,26.69,21.99,12.15,1,1,1,Prop. 39 School,high income
56725500000000_1663,0.34,0,94.41,0,5.59,35.55,2002,128757,25,0.63,32.5,19.3,21.72,26.69,33.55,9.4,1,1,1,Prop. 39 School,high income
30665600000000_2160,0.34,0,94.2,0,5.8,32.4,1942,111685,19,0.63,161,7.48,26.73,22.48,31.36,11.7,1,1,1,Prop. 39 School,high income
19651400000000_2890,0.34,0,19.41,0,80.59,38.66,2004,227644,14,0.61,241,33.13,21,34.92,23.85,5.25,1,1,1,Prop. 39 School,high income
19650600000000_2994,0.34,0,100,0,0,33.02,1952,165982,10,0.61,13,24,19.66,34.92,48.35,7.9,1,1,1,Prop. 39 School,high income
33751900000000_3398,0.34,0.12,76.91,0,22.97,36.6,2005,117963,24,0.61,241,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3399,0.34,0,94.23,0,44.56,36.6,2003,117963,24,0.63,1894.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3400,0.34,5.06,86.36,0,10.61,36.6,2002,117963,24,0.61,1894.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3401,0.34,0,70.3,0,0,36.6,1971,117963,24,0.63,1523.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3402,0.34,0,85.41,0,6.37,36.6,1999,117963,24,0.63,42.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3403,0.34,0,46.86,0,9.13,36.6,1979,117963,24,0.63,13,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3404,0.34,0,81.75,0,28.15,36.6,1992,117963,24,0.63,241,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3405,0.34,0,95.81,0,17.01,36.6,1994,117963,24,0.61,241,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3406,0.34,0,41.67,0,0,36.6,1965,117963,24,0.63,1523.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3407,0.34,0,59.52,0,0,36.6,2001,117963,24,0.63,42.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3408,0.34,0,95.81,0,3.76,36.6,1967,117963,24,0.63,241,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3409,0.34,1.64,72.01,0,0.85,36.6,2010,117963,24,0.63,13,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3410,0.34,0,68.74,0,0.08,36.6,1992,117963,24,0.63,205,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3411,0.34,0,53.72,0,0.14,36.6,1929,117963,24,0.63,13,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3412,0.34,4.93,62.18,0,10.41,36.6,2009,117963,24,0.63,42.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3413,0.34,0,85.59,0,15.53,36.6,1964,117963,24,0.63,241,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3414,0.34,0,83.79,0,5.16,36.6,1963,117963,24,0.63,1523.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3415,0.34,0,74.72,0,9.08,36.6,2017,117963,24,0.61,13,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3416,0.34,0,56.3,0,0.08,36.6,1958,117963,24,0.63,13,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3417,0.34,0,70.51,0,16.4,36.6,1992,117963,24,0.63,1523.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3418,0.34,0,52.38,0,43.17,36.6,2000,117963,24,0.63,23,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3419,0.34,12.62,50.56,0,8.05,36.6,2004,117963,24,0.63,13,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3420,0.34,0,42.39,0,5.78,36.6,1962,117963,24,0.61,205,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3421,0.34,0,70.21,0,26.35,36.6,1916,117963,24,0.63,55,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3422,0.34,0,100,0,17.01,36.6,1982,117963,24,0.63,929,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3423,0.34,0.1,70.71,0,0,36.6,2002,117963,24,0.63,42.5,72.33,32.95,31.72,29.83,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3424,0.34,1.98,88.54,0,9.49,37.22,1956,136049,24,0.63,241,72.33,24.24,31.72,34.38,18.3,1,1,1,Prop. 39 School,high income
33751900000000_3609,0.34,0,97.13,0,2.87,37.1,1997,136250,24,0.63,23,14.04,24.24,31.72,34.38,21.85,1,1,1,Prop. 39 School,high income
10620300000000_230,0.35,0,27.24,34.58,38.18,28.22,1998,131563,96,0.63,1523.5,6.81,35.78,29.25,28.75,42.6,1,1,1,Prop. 39 School,high income
33751900000000_598,0.35,0,47.72,0,52.28,38.97,2005,113750,24,0.63,1523.5,21.29,30.38,31.72,27.89,20.65,1,1,1,Prop. 39 School,high income
19647300000000_1082,0.35,0,99.55,0,0.45,34.23,1994,127008,80,0.63,241,9.85,23.8,34.92,46.03,15.05,1,1,1,Prop. 39 School,high income
36676800000000_1116,0.35,0,74.1,0,25.9,36.66,2018,111250,57,0.63,241,9.46,23.45,34.44,51.98,11.35,1,1,1,Prop. 39 School,high income
36676800000000_1134,0.35,0,98.08,0,1.92,36.68,1991,126131,57,0.63,241,9.2,23.45,34.44,51.98,24.1,1,1,1,Prop. 39 School,high income
19647300000000_1656,0.35,0.32,88.03,0,7.51,36.39,1990,120729,80,0.63,220,72.59,29.77,34.92,39.53,25.1,1,1,1,Prop. 39 School,high income
26736900000000_1830,0.35,0,59.59,10.66,29.75,29.47,1962,204202,47,0.63,241,9.77,47.37,28.52,26.26,9.5,1,1,1,Prop. 39 School,high income
30665600000000_2176,0.35,0,30.56,0,69.44,32.22,1955,111685,19,0.63,42,13.29,26.73,22.48,31.36,15.55,1,1,1,Prop. 39 School,high income
19648300000000_2632,0.35,0,91.53,0,8.47,38.34,2005,227644,73,0.63,241,10.22,21,34.92,23.85,6.3,1,1,1,Prop. 39 School,high income
36676800000000_2637,0.35,0.16,65.79,0.32,33.73,34.84,1957,110294,57,0.63,241,8.05,27.96,34.44,34.84,13.95,1,1,1,Prop. 39 School,high income
33751900000000_2750,0.35,0,89.63,0,10.37,37.59,1995,136049,24,0.63,241,16.01,24.24,31.72,34.38,13.65,1,1,1,Prop. 39 School,high income
33751900000000_2751,0.35,0,87.91,0,12.09,37.28,1995,112344,24,0.61,241,16.01,24.24,31.72,34.38,13.65,1,1,1,Prop. 39 School,high income
33751900000000_2752,0.35,0,56.91,0,28.58,37.59,1995,136049,24,0.63,42.5,16.01,24.24,31.72,34.38,13.65,1,1,1,Prop. 39 School,high income
33751900000000_2753,0.35,0,96.79,0,3.21,36.22,1995,123023,24,0.63,1523.5,16.01,32.95,31.72,29.83,13.65,1,1,1,Prop. 39 School,high income
33751900000000_2754,0.35,0,96.65,0,10.37,37.59,1995,136049,24,0.63,241,16.01,24.24,31.72,34.38,13.65,1,1,1,Prop. 39 School,high income
19648300000000_2812,0.35,0,77.05,0.32,22.63,38.97,2003,144773,73,0.63,13,22.32,30.6,34.92,42.65,7.9,1,1,1,Prop. 39 School,high income
30666700000000_3128,0.35,0,100,0,0,36.64,2005,144079,75,0.63,241,14.77,39.14,22.48,48.47,16.7,1,1,1,Prop. 39 School,high income
33751900000000_3608,0.35,0,67.05,0,32.95,38.27,1997,136250,24,0.63,23,14.04,37.89,31.72,29.97,21.85,1,1,1,Prop. 39 School,high income
19645800000000_602,0.36,0,99.84,0,0.16,36.15,1961,130441,28,0.63,32.5,19.07,40.41,34.92,31.49,10.45,1,1,1,Prop. 39 School,high income
30665600000000_2289,0.36,0,58.33,0,41.67,31.97,1982,132750,19,0.63,1894.5,18.01,26.73,22.48,31.36,34.6,1,1,1,Prop. 39 School,high income
36676800000000_1959,0.37,0.16,89.67,0,10.17,34.64,2003,179643,57,0.63,36,9.06,27.52,34.44,50.47,9.45,1,1,1,Prop. 39 School,high income
19648300000000_2787,0.37,0,99.3,0,0,38.53,2007,140000,73,0.61,55,11.37,45.2,34.92,42.84,15.5,1,1,1,Prop. 39 School,high income
30736400000000_2804,0.37,0,90.46,0,9.54,35.83,1997,144773,45,0.61,13,18.99,21.87,22.48,31.2,6.5,1,1,1,Prop. 39 School,high income
19648800000000_3200,0.37,0,95.91,0.41,3.68,37.59,1991,135859,65,0.63,241,18.19,20.44,34.92,35.64,3.5,1,1,1,Prop. 39 School,high income
30736400000000_1618,0.38,0,95.93,0,4.07,35.29,2001,124875,45,0.63,241,23.16,16.51,22.48,31.22,7.8,1,1,1,Prop. 39 School,high income
30736400000000_2845,0.38,2.01,53.62,0,44.37,34.16,1992,179732,45,0.63,241,10.84,12.04,22.48,33.02,8.55,1,1,1,Prop. 39 School,high income
30736400000000_2912,0.38,0,99.34,0,0.66,35.89,2001,127333,45,0.63,241,10.69,26.04,22.48,31.13,3.6,1,1,1,Prop. 39 School,high income
19648800000000_3698,0.38,6.65,71.56,0,21.8,35.41,2019,118182,65,0.61,23,25.83,21.74,34.92,42.52,20.05,1,1,1,Prop. 39 School,high income
19648800000000_453,0.39,0,100,0,0,37.15,1931,174010,65,0.63,125.5,21.07,38.88,34.92,38.53,24.3,1,1,1,Prop. 39 School,high income
19648800000000_454,0.39,0,100,0,1.34,37.15,1931,174010,65,0.63,241,21.07,38.88,34.92,38.53,24.3,1,1,1,Prop. 39 School,high income
30736400000000_128,0.4,0,98.57,1.27,0.16,34.79,1965,132656,45,0.63,241,13.52,26.04,22.48,31.13,6.4,1,1,1,Prop. 39 School,high income
19645800000000_1136,0.4,0,89.2,0.67,10.13,34.67,2005,184853,28,0.63,23,20.12,40.41,34.92,31.49,8.4,1,1,1,Prop. 39 School,high income
19645800000000_1137,0.4,0,85.53,0,10.75,34.67,1993,198854,28,0.61,13,20.12,40.41,34.92,31.49,8.4,1,1,1,Prop. 39 School,high income
19648800000000_2533,0.4,0,99.76,0,0.24,36.83,2012,172500,65,0.63,615,10.9,39.01,34.92,40.47,6.5,1,1,1,Prop. 39 School,high income
56725500000000_3123,0.41,0,90.15,0.16,9.69,34.53,1997,197586,25,0.63,241,10.91,21.19,26.69,36.95,5.85,1,1,1,Prop. 39 School,high income
56725500000000_3124,0.41,0,96.83,0,27.18,34.53,1995,197586,25,0.63,336,10.91,21.19,26.69,36.95,5.85,1,1,1,Prop. 39 School,high income
30736400000000_2818,0.42,0,100,0,0,35.21,1999,250000,45,0.63,241,29.7,26.04,22.48,31.13,6.45,1,1,1,Prop. 39 School,high income
30665600000000_3443,0.42,0,34.94,0,65.06,29.79,1954,147125,19,0.63,16,20.35,26.73,22.48,31.36,10.45,1,1,1,Prop. 39 School,high income
19646600000000_1571,0.43,0.16,87.57,4.7,7.57,36.4,1923,117963,5,0.61,336,64.83,17.21,34.92,55.74,4.3,1,1,1,Prop. 39 School,high income
33751900000000_3456,0.43,0.43,6.13,1.29,92.15,34.03,2005,234643,24,0.61,241,19.15,32.95,31.72,22.89,21.2,1,1,1,Prop. 39 School,high income
19646600000000_2763,0.44,0,98.9,1.1,0,36.22,1901,240139,5,0.61,27.5,25.1,18.17,34.92,51.67,3.4,1,1,1,Prop. 39 School,high income
19646600000000_2764,0.44,0,100,1.63,1.27,36.22,2003,237083,5,0.63,336,25.1,18.17,34.92,51.67,3.4,1,1,1,Prop. 39 School,high income
19646600000000_2765,0.44,0,95.68,0,3.17,36.22,2001,112232,5,0.63,241,25.1,18.17,34.92,51.67,3.4,1,1,1,Prop. 39 School,high income
19646600000000_1569,0.45,0,58.43,0.72,40.85,34.72,1893,240139,5,0.63,1894.5,64.83,17.21,34.92,55.74,4.3,1,1,1,Prop. 39 School,high income
19646600000000_1570,0.45,0,100,0,44.36,34.72,1955,240139,5,0.63,20747,64.83,17.21,34.92,55.74,4.3,1,1,1,Prop. 39 School,high income
19646600000000_1572,0.45,0,99,3.03,48.28,34.72,1878,240139,5,0.63,161,64.83,17.21,34.92,55.74,4.3,1,1,1,Prop. 39 School,high income
56725500000000_2958,0.45,1.91,70.78,0,27.32,34.16,2000,147656,25,0.61,42,47.82,44.99,26.69,50.1,20.45,1,1,1,Prop. 39 School,high income
56725500000000_2959,0.45,0,96.57,0,0.51,34.16,2009,165500,25,0.63,241,47.82,44.99,26.69,50.1,20.45,1,1,1,Prop. 39 School,high income
30665600000000_3442,0.45,0,16.51,0,83.49,30.6,1989,139079,19,0.61,929,20.35,26.73,22.48,31.36,10.45,1,1,1,Prop. 39 School,high income
33752000000000_2222,0.46,0,20.27,4.63,75.1,34.22,2019,126827,40,0.63,267,15.07,35.71,31.72,49.47,12.7,1,1,1,Prop. 39 School,high income
19646600000000_2731,0.5,0,85.45,5.64,8.9,31.53,2005,212708,5,0.61,14.5,26.27,17.27,34.92,35.4,4.3,1,1,1,Prop. 39 School,high income
19646600000000_2732,0.5,0,30.13,0,17.33,31.53,1971,250000,5,0.63,13,26.27,17.27,34.92,35.4,4.3,1,1,1,Prop. 39 School,high income
27800000000000_1,0.13,0,99.64,0,0.36,26.74,1997,73614,80,0.57,13,59.75,49.82,39.52,45.09,5.2,1,0,0,Prop. 39 School,medium income
27800000000000_2,0.13,0,100,0,0,26.83,1958,69531,89.5,0.57,13,13.25,49.82,39.52,45.09,19,1,0,0,Prop. 39 School,medium income
1610000000000_3,0.16,0,35.48,0,64.52,31.64,1963,74788,0,0.56,83,14.29,30.08,19.56,36.19,13.8,0,0,0,Control School,medium income
42700000000000_4,0.16,0,87.3,1.37,11.33,29.92,1938,78030,37,0.47,42.5,26.01,37.27,51.99,28.63,9.25,1,0,0,Prop. 39 School,medium income
42700000000000_5,0.14,0,73.28,3.88,22.84,29.83,1938,78030,22,0.46,13,14.91,37.27,51.99,28.63,9.25,1,0,0,Prop. 39 School,medium income
42700000000000_6,0.14,18.39,42.01,0,61.45,29.83,1938,78030,72,0.47,183,32.33,37.27,51.99,28.63,9.25,1,0,0,Prop. 39 School,medium income
42700000000000_7,0.14,0,85.53,1.89,12.58,29.89,1938,78030,37,0.47,1523.5,26.01,37.27,51.99,28.63,9.25,1,0,0,Prop. 39 School,medium income
42700000000000_8,0.14,0,92.42,0,5.16,29.83,1938,78030,87.5,0.57,42.5,9.9,37.27,51.99,28.63,9.25,1,0,0,Prop. 39 School,medium income
42700000000000_9,0.14,0,99.6,0,8.35,29.83,1938,78030,91,0.56,42.5,12.73,37.27,51.99,28.63,9.25,1,0,0,Prop. 39 School,medium income
52700000000000_10,0.18,0,46.37,0,53.63,28.71,1997,96215,89,0.63,42.5,11.41,69.27,60.29,43.68,32.45,1,0,0,Prop. 39 School,medium income
31700000000000_12,0.22,0,51.07,9.91,39.02,26.83,1963,97604,20,0.63,241,5.61,23.87,42.85,30.44,5.85,0,0,0,Control School,medium income
45700000000000_14,0.22,2.94,24.09,8.66,64.31,26.96,2016,95625,95,0.63,1523.5,5.94,27.09,54.48,15.92,46.75,1,0,0,Prop. 39 School,medium income
29700000000000_18,0.25,0.96,19.9,44.9,34.24,25.2,2016,63958,80,0.63,13,5.11,54.74,41.19,29.64,15,1,1,1,Prop. 39 School,medium income
51700000000000_22,0.18,6.54,91.92,0,1.54,28.26,2005,81429,19,0.57,221,14.9,27.29,59.46,44.3,16.7,0,0,0,Control School,medium income
31800000000000_23,0.14,0,99.92,0,0.08,28.83,1952,78036,30.5,0.63,164,13.28,47.46,42.85,38.96,11.55,0,0,0,Control School,medium income
27700000000000_25,0.12,0,99.19,0,0.81,25.9,2000,60875,64,0.61,241,16.11,61.88,39.52,37.44,15.2,0,0,0,Control School,medium income
16700000000000_26,0.1,0,73.91,0,26.09,34.95,1998,59024,91,0.56,205,22.46,45.07,42.51,20.5,25.95,1,0,0,Prop. 39 School,medium income
42700000000000_28,0.17,0,41.78,0,58.22,28.67,1961,67130,89,0.63,55,13.38,41.05,51.99,33.96,20.65,0,0,0,Control School,medium income
42700000000000_29,0.19,0,52.22,21.43,26.35,26.92,1966,98429,35.5,0.61,220,32.13,44.75,51.99,31.91,22.2,0,0,0,Control School,medium income
31800000000000_32,0.14,0.26,80.99,11.33,7.42,28.64,1952,78036,50,0.63,221,32.75,47.46,42.85,38.96,13.1,0,0,0,Control School,medium income
57700000000000_35,0.19,0,100,0,0,28.11,1912,78750,59.5,0.63,42.5,16.75,51.44,64.45,45.88,17.55,0,0,0,Control School,medium income
40800000000000_45,0.13,0,95.7,1.51,2.79,31.36,2003,87344,59,0.47,205,14.63,46.01,50.32,41.76,26.05,1,0,0,Prop. 39 School,medium income
40800000000000_46,0.13,0.24,86.85,0,0,31.36,2003,87344,59,0.56,13,14.63,46.01,50.32,41.76,26.05,1,0,0,Prop. 39 School,medium income
40800000000000_47,0.13,0,100,0,0,31.54,2003,87344,59,0.56,13,14.63,46.01,50.32,41.76,26.05,1,0,0,Prop. 39 School,medium income
40800000000000_48,0.15,9.38,60.58,1.74,28.3,31.03,1948,87344,54.5,0.63,13,18.63,46.01,50.32,41.76,37.65,0,0,0,Control School,medium income
40700000000000_50,0.19,0,78.35,1.63,20.02,26.24,1993,92500,69,0.63,13,13.73,44.99,50.32,34.66,18.7,0,0,0,Control School,medium income
10600000000000_53,0.14,0,100,0,0,29.83,1996,91695,40,0.63,241,12.81,37.05,29.25,35.98,18.8,0,0,0,Control School,medium income
10600000000000_60,0.15,2.66,96.71,0,0.62,29.8,1958,74545,68.5,0.61,15,16.45,103.13,29.25,47.83,24.65,0,0,0,Control School,medium income
43700000000000_69,0.09,0,100,0,0,29.67,1962,70966,61,0.63,42,12.83,57.49,52.82,27.2,13.85,0,0,0,Control School,medium income
43700000000000_70,0.1,0,100,0,0,29.42,1965,59635,53,0.61,241,6.69,35.96,52.82,39.73,6.05,0,0,0,Control School,medium income
29700000000000_77,0.28,0.48,16.92,77.2,5.4,23.76,1985,92413,28,0.63,205,9.01,32.95,34.92,12.98,19.85,1,1,1,Prop. 39 School,medium income
1610000000000_79,0.1,0,100,0,0,28.24,2005,76639,95,0.63,98.5,3,95.62,19.56,37.23,55.45,0,0,0,Control School,medium income
4610000000000_80,0.22,0,100,0,0,26.2,1953,62273,68,0.57,161,22.56,46.31,19.73,49.15,27,0,0,0,Control School,medium income
4610000000000_84,0.19,0,100,0,0,27.92,1973,67148,0,0.43,27.5,16.02,56.56,19.73,45.84,21.55,0,0,0,Control School,medium income
4610000000000_88,0.24,11.88,88.12,0,0,25.67,1953,97697,10,0.47,38.5,20.15,56.56,19.73,33.87,18,0,1,0,Control School,medium income
4610000000000_89,0.18,0,100,0,0,28.82,1970,84485,91,0.61,145,23.89,77.93,51.99,41.59,34,0,0,0,Control School,medium income
9620000000000_108,0.23,0,42.01,30.19,27.8,26.39,1999,62805,0,0.47,16,32.27,45.48,18.13,33.85,25.55,0,0,0,Control School,medium income
9620000000000_109,0.23,9.45,39.92,0,12.14,26.39,1999,62805,75,0.61,16,32.27,45.48,18.13,33.85,25.55,0,0,0,Control School,medium income
9620000000000_110,0.22,0,79.52,15.56,4.92,26.59,2002,62841,22,0.47,16,15.29,49.36,18.13,34.49,36.25,0,0,0,Control School,medium income
1610000000000_115,0.1,0,100,0,0,27.28,2005,66912,91,0.63,1523.5,8.89,129.22,19.56,34.8,25.95,0,0,0,Control School,medium income
1610000000000_116,0.09,0,100,0,0,28.74,2006,58750,88,0.57,1523.5,2,226.34,19.56,30.02,48.2,0,0,0,Control School,medium income
6620000000000_122,0.15,0,100,0,0,29.67,2008,85290,62,0.47,32.5,8.05,107.9,36.2,58.8,28.05,1,0,0,Prop. 39 School,medium income
6620000000000_123,0.15,0,99.9,0,1.27,29.67,2008,85290,80,0.56,1523.5,8.05,38.64,19.56,48.43,28.05,1,0,0,Prop. 39 School,medium income
57700000000000_124,0.19,0,98.69,0,1.31,29.93,1952,97778,78,0.58,13,9.91,52.82,64.45,49.08,30.7,1,0,0,Prop. 39 School,medium income
57700000000000_125,0.19,0,81.96,0.16,0,29.93,1953,97778,78,0.63,205,9.91,52.82,64.45,49.08,30.7,1,0,0,Prop. 39 School,medium income
57700000000000_126,0.19,0,73.8,0,0,29.93,1954,97778,78,0.63,13,9.91,52.82,64.45,49.08,30.7,1,0,0,Prop. 39 School,medium income
57700000000000_127,0.19,0,84.23,0,0,29.93,1959,97778,78,0.61,1523.5,9.91,52.82,64.45,49.08,30.7,1,0,0,Prop. 39 School,medium income
7620000000000_129,0.18,0,83.47,11.45,5.09,25.53,1960,82857,27,0.57,1894.5,5.02,50.51,21.42,40.85,19.2,0,0,0,Control School,medium income
23700000000000_137,0.25,4.62,30.65,9.95,54.78,18.43,2003,66500,60,0.63,241,18.91,21.59,36.2,29.06,39.95,1,1,1,Prop. 39 School,medium income
42700000000000_138,0.12,0,97,0,3,27.67,2004,79000,80,0.63,220,30.24,54.4,51.99,33.7,29.45,0,0,0,Control School,medium income
28700000000000_142,0.2,0,89,0,11,28.99,1930,95994,75.5,0.57,13,12.82,36.71,40.35,27.15,10.9,1,0,0,Prop. 39 School,medium income
28700000000000_143,0.13,0,99.25,0,0.75,29.95,2003,90714,42,0.63,241,2,42.44,40.35,46.33,20.55,0,0,0,Control School,medium income
16700000000000_145,0.1,0,81.66,0,35.44,34.95,1985,59024,97,0.47,148.5,10.58,45.07,42.51,20.5,25.95,1,0,0,Prop. 39 School,medium income
16700000000000_146,0.1,0,97.72,0,29.64,34.95,1999,59024,0,0.46,13,9.97,45.07,42.51,20.5,25.95,1,0,0,Prop. 39 School,medium income
16700000000000_147,0.1,0,85.65,0,0,34.95,1858,59024,96,0.47,23,25.01,45.07,42.51,20.5,25.95,1,0,0,Prop. 39 School,medium income
28700000000000_150,0.15,0.8,99.2,0,0,28.58,1949,82000,56,0.63,241,13.62,48.15,40.35,38.35,14.9,0,0,0,Control School,medium income
24700000000000_152,0.2,0,81.63,0,18.37,29.14,1953,58750,37.5,0.63,42.5,30.06,80.7,37.03,54.66,9.7,0,0,0,Control School,medium income
43700000000000_153,0.09,0,100,0,0,29.33,1985,77813,78,0.61,278.5,11.88,63.73,52.82,52.87,28.45,0,0,0,Control School,medium income
43700000000000_157,0.12,1.68,98.16,0,0.16,28.17,2014,99531,7,0.57,220,26.29,30.06,52.82,30.83,18.9,0,0,0,Control School,medium income
39700000000000_162,0.15,0,100,0,0,29.48,2019,69542,87.5,0.63,1894.5,22.51,71.8,49.49,47.26,32.55,0,0,0,Control School,medium income
39700000000000_166,0.15,0,100,0,0,29.49,1991,60114,86.5,0.63,278.5,9.2,81.46,49.49,46.29,40.4,0,0,0,Control School,medium income
40700000000000_169,0.13,18.26,75.2,0.16,6.38,28.36,1962,89531,53.5,0.61,1523.5,19.88,17.69,50.32,38.38,23.5,0,0,0,Control School,medium income
28700000000000_174,0.14,0,99.63,0,0.37,29.61,1959,90714,56.5,0.47,241,39.16,42.44,40.35,46.33,21.15,1,0,0,Prop. 39 School,medium income
28700000000000_176,0.14,0,100,0,0,29.61,1991,90714,56.5,0.47,32.5,39.16,42.44,40.35,46.33,21.15,1,0,0,Prop. 39 School,medium income
27700000000000_177,0.13,0,99.9,0,0.1,25.77,2004,78106,61,0.63,241,13.4,34.18,42.85,34.53,19.2,0,0,0,Control School,medium income
1610000000000_183,0.04,0,100,0,0,28.52,1960,63813,68,0.63,653.5,9.83,129.22,19.56,47.86,30.35,0,0,0,Control School,medium income
57700000000000_185,0.18,0,100,0,0,27.36,1914,67865,78.5,0.61,42.5,6.13,51.44,64.45,45.88,33.35,0,0,0,Control School,medium income
