School_ID,Year_built,NDVI_median,Land_Surface_Temp,Diversity_Index,retrofit,Chronic_Absenteeism,Median_income_BG,income,School_Type
30666700000000_88,1959,0.25,36.99,0.63,1,24.15,108819,medium income,Prop. 39
30666700000000_364,1959,0.25,37.58,0.63,1,20.35,104500,medium income,Prop. 39
19647300000000_234,1959,0.27,37.23,0.63,1,31.15,105326,medium income,Prop. 39
40700000000000_168,1960,0.08,23.34,0.63,0,18.8,145781,high income,Control
1610000000000_201,1960,0.12,29.05,0.61,0,12.85,179125,high income,Control
1610000000000_202,1960,0.12,29.05,0.63,0,12.85,179125,high income,Control
1610000000000_203,1960,0.12,28.85,0.63,0,0,136000,high income,Control
56724600000000_849,1960,0.21,35.52,0.63,0,13.9,126250,high income,Control
56737600000000_2505,1960,0.31,36.84,0.61,0,10.85,114821,high income,Control
19648700000000_1971,1960,0.33,32.65,0.63,0,9.2,186389,high income,Control
3740000000000_382,1960,0.21,28.53,0.63,0,37.85,44796,low income,Control
3740000000000_385,1960,0.17,28.52,0.63,0,23.45,54868,low income,Control
10600000000000_445,1960,0.14,30.44,0.57,0,47.15,36196,low income,Control
10600000000000_464,1960,0.13,31.14,0.63,0,40.85,42361,low income,Control
36678800000000_2056,1960,0.23,41.46,0.57,0,47.1,45051,low income,Control
30665200000000_2883,1960,0.24,38.08,0.63,0,16.1,44479,low income,Control
54722600000000_3796,1960,0.3,37.55,0.63,0,40.7,49216,low income,Control
7620000000000_129,1960,0.18,25.53,0.57,0,19.2,82857,medium income,Control
1610000000000_183,1960,0.04,28.52,0.63,0,30.35,63813,medium income,Control
10700000000000_196,1960,0.13,31.08,0.63,0,26.45,73047,medium income,Control
3740000000000_333,1960,0.19,28.65,0.63,0,28.1,77819,medium income,Control
3740000000000_384,1960,0.18,28.61,0.63,0,25.7,66009,medium income,Control
10600000000000_467,1960,0.12,30.86,0.61,0,37.65,65450,medium income,Control
10600000000000_472,1960,0.12,31.08,0.63,0,42.15,88241,medium income,Control
54720700000000_2256,1960,0.17,40.45,0.56,0,26.85,97353,medium income,Control
19648100000000_1205,1960,0.22,40.24,0.63,0,28.8,80147,medium income,Control
30665200000000_3278,1960,0.22,37.98,0.63,0,14.1,89006,medium income,Control
30666200000000_3382,1960,0.22,40.01,0.56,0,22.5,95833,medium income,Control
56724600000000_848,1960,0.23,34.83,0.63,0,13.9,75813,medium income,Control
33751800000000_1809,1960,0.24,41.22,0.63,0,39.5,66503,medium income,Control
30664700000000_3101,1960,0.24,37.66,0.63,0,21.6,78365,medium income,Control
36678190000000_662,1960,0.27,37.83,0.47,0,17.3,66416,medium income,Control
19650940000000_715,1960,0.27,37.17,0.58,0,11.85,97431,medium income,Control
19645500000000_2929,1960,0.3,38.34,0.63,0,12.1,102277,medium income,Control
36678800000000_1147,1960,0.32,39.22,0.63,0,37.05,61250,medium income,Control
36678800000000_1288,1960,0.33,38.46,0.63,0,32.25,74375,medium income,Control
19650000000000_3112,1960,0.33,39.8,0.57,0,11,76944,medium income,Control
36678700000000_1630,1960,0.54,30.65,0.61,0,26.6,69201,medium income,Control
28700000000000_151,1960,0.19,26.83,0.57,0,13.75,109756,medium income,Control
19650400000000_367,1960,0.21,38.64,0.63,0,28.95,101250,medium income,Control
19650400000000_368,1960,0.21,38.64,0.63,0,28.95,101250,medium income,Control
19650400000000_369,1960,0.21,38.64,0.61,0,28.95,101250,medium income,Control
19650400000000_370,1960,0.21,38.64,0.63,0,28.95,101250,medium income,Control
30664700000000_2907,1960,0.25,37.67,0.63,0,17.45,108904,medium income,Control
36676500000000_2680,1960,0.26,37.47,0.61,0,50.05,108884,medium income,Control
1610000000000_33,1960,0.14,29.86,0.46,1,7.35,157500,high income,Prop. 39
1610000000000_411,1960,0.12,30.79,0.57,1,15.2,186429,high income,Prop. 39
19734500000000_246,1960,0.26,39.47,0.63,1,8.35,113152,high income,Prop. 39
30736400000000_168,1960,0.3,38.73,0.63,1,20.95,119625,high income,Prop. 39
30736400000000_1027,1960,0.33,38.22,0.63,1,5.85,155060,high income,Prop. 39
56768300000000_171,1960,0.24,38.29,0.63,1,24.05,49911,low income,Prop. 39
56768300000000_172,1960,0.24,38.29,0.63,1,24.05,49911,low income,Prop. 39
56768300000000_170,1960,0.25,38.24,0.63,1,24.05,29564,low income,Prop. 39
36678500000000_1106,1960,0.26,40.64,0.63,1,35.6,55952,low income,Prop. 39
56768300000000_169,1960,0.27,38.2,0.63,1,24.05,49911,low income,Prop. 39
30666700000000_2582,1960,0.15,39.36,0.46,1,88.9,72813,medium income,Prop. 39
19647300000000_3736,1960,0.17,37.86,0.47,1,30.65,58910,medium income,Prop. 39
19650600000000_1481,1960,0.23,37.7,0.47,1,18.95,77344,medium income,Prop. 39
19643300000000_1171,1960,0.24,37.86,0.63,1,22.3,97431,medium income,Prop. 39
56768300000000_244,1960,0.27,35.89,0.63,1,29.2,77292,medium income,Prop. 39
56768300000000_245,1960,0.27,35.89,0.63,1,29.2,77292,medium income,Prop. 39
19647300000000_3806,1960,0.27,35.91,0.63,1,22.3,82738,medium income,Prop. 39
19650500000000_1692,1960,0.29,40.95,0.63,1,13.45,81295,medium income,Prop. 39
30666700000000_1911,1960,0.29,36.99,0.61,1,21.5,83571,medium income,Prop. 39
56768300000000_243,1960,0.3,37.66,0.63,1,29.2,88393,medium income,Prop. 39
19651400000000_131,1960,0.32,39.7,0.63,1,7.95,76944,medium income,Prop. 39
19643300000000_110,1960,0.24,37.05,0.63,1,10.8,103839,medium income,Prop. 39
1610000000000_204,1961,0.11,28.68,0.63,0,6.9,146353,high income,Control
1750000000000_241,1961,0.14,28.61,0.63,0,7.25,150444,high income,Control
30664700000000_1130,1961,0.23,38.89,0.63,0,18.7,133220,high income,Control
42692100000000_3600,1961,0.33,34.35,0.63,0,15.7,132321,high income,Control
42692100000000_3599,1961,0.57,29.41,0.63,0,15.7,122625,high income,Control
15600000000000_195,1961,0.11,34.02,0.57,0,25.45,23333,low income,Control
19646300000000_2173,1961,0.12,37.92,0.47,0,66.2,43333,low income,Control
36677100000000_2494,1961,0.18,39.47,0.63,0,18.95,29299,low income,Control
19646300000000_219,1961,0.23,38.67,0.57,0,27.7,52632,low income,Control
19734400000000_555,1961,0.23,40.2,0.61,0,42.95,40474,low income,Control
19734400000000_87,1961,0.24,39.7,0.63,0,28.6,57344,low income,Control
36678800000000_3665,1961,0.25,41.54,0.63,0,32.45,20307,low income,Control
56724600000000_1324,1961,0.26,33.91,0.61,0,29.85,53863,low income,Control
30665200000000_1119,1961,0.28,37.24,0.56,0,20.75,26219,low income,Control
19651100000000_1784,1961,0.28,36.36,0.57,0,33.7,31250,low income,Control
36750700000000_3546,1961,0.29,37.21,0.58,0,21.3,43491,low income,Control
54722600000000_3592,1961,0.3,37.64,0.57,0,35.65,34833,low income,Control
54722600000000_3788,1961,0.3,37.55,0.63,0,40.7,49216,low income,Control
54718400000000_312,1961,0.32,37.59,0.57,0,21.4,33051,low income,Control
42700000000000_28,1961,0.17,28.67,0.63,0,20.65,67130,medium income,Control
42700000000000_399,1961,0.17,28.67,0.63,0,20.65,67130,medium income,Control
30665140000000_787,1961,0.14,40.78,0.56,0,12.85,76563,medium income,Control
36750800000000_640,1961,0.15,39.36,0.56,0,45.1,69926,medium income,Control
15737400000000_1664,1961,0.15,42.48,0.63,0,19.05,83523,medium income,Control
36677100000000_3270,1961,0.23,40.96,0.61,0,30,61250,medium income,Control
56726500000000_293,1961,0.28,35.61,0.63,0,18.45,91250,medium income,Control
33671200000000_3302,1961,0.28,38.4,0.57,0,27.35,80096,medium income,Control
19644500000000_1079,1961,0.29,38.26,0.61,0,20.75,96250,medium income,Control
54718400000000_311,1961,0.3,40.28,0.61,0,20.75,66932,medium income,Control
54722600000000_2078,1961,0.32,38.45,0.63,0,33.1,68031,medium income,Control
56726500000000_158,1961,0.33,34.4,0.61,0,16.7,102292,medium income,Control
42767900000000_3017,1961,0.33,35.61,0.61,0,13.95,82500,medium income,Control
33670800000000_1347,1961,0.41,29.91,0.61,0,23.95,90000,medium income,Control
19650600000000_1274,1961,0.26,36.96,0.63,1,5.7,110000,high income,Prop. 39
30736400000000_2190,1961,0.28,37.09,0.61,1,16.8,114044,high income,Prop. 39
19645800000000_602,1961,0.36,36.15,0.63,1,10.45,130441,high income,Prop. 39
19648200000000_157,1961,0.17,39.3,0.56,1,24.85,39196,low income,Prop. 39
19645000000000_3191,1961,0.18,40.33,0.47,1,21.8,56136,low income,Prop. 39
19645000000000_3192,1961,0.18,40.33,0.56,1,21.8,56136,low income,Prop. 39
19650600000000_3595,1961,0.2,36.16,0.43,1,10.25,107462,medium income,Prop. 39
30666700000000_3110,1961,0.23,37.33,0.47,1,20.95,65227,medium income,Prop. 39
19650600000000_3596,1961,0.24,35.61,0.63,1,10.25,92375,medium income,Prop. 39
19734500000000_1554,1961,0.25,40.22,0.63,1,13.8,66094,medium income,Prop. 39
19643300000000_1420,1961,0.26,36.84,0.63,1,15.55,85500,medium income,Prop. 39
19643300000000_1749,1961,0.27,37.54,0.63,1,11.25,90179,medium income,Prop. 39
30666700000000_27,1961,0.28,37.45,0.61,1,24.35,68980,medium income,Prop. 39
19650900000000_2020,1961,0.29,38.14,0.63,1,8.5,89808,medium income,Prop. 39
19647300000000_2559,1961,0.29,37.72,0.63,1,13.8,94632,medium income,Prop. 39
19647300000000_1552,1961,0.31,34.14,0.63,1,21.05,96950,medium income,Prop. 39
56725500000000_2028,1961,0.31,36.67,0.63,1,12.15,93534,medium income,Prop. 39
56725500000000_2524,1961,0.26,35.39,0.63,1,20.85,103403,medium income,Prop. 39
19647300000000_1553,1961,0.27,34.61,0.63,1,21.05,104375,medium income,Prop. 39
19650900000000_328,1961,0.29,37.65,0.61,1,16.5,100417,medium income,Prop. 39
43700000000000_131,1962,0.13,29.07,0.61,0,4.65,142162,high income,Control
1610000000000_206,1962,0.12,28.95,0.63,0,4.4,179125,high income,Control
1750000000000_239,1962,0.14,28.77,0.63,0,6.65,117120,high income,Control
19734600000000_387,1962,0.3,37.28,0.63,0,5.95,145149,high income,Control
30666000000000_564,1962,0.31,34.41,0.63,0,10.5,125527,high income,Control
30666200000000_3603,1962,0.32,37.91,0.57,0,12.85,117963,high income,Control
30666200000000_3601,1962,0.34,37.46,0.58,0,9.1,125880,high income,Control
10600000000000_450,1962,0.13,30.86,0.63,0,42.65,51985,low income,Control
10600000000000_475,1962,0.15,30.39,0.58,0,51.3,47321,low income,Control
36750500000000_1792,1962,0.11,43.32,0.63,0,43.05,36100,low income,Control
19734400000000_2872,1962,0.22,40.78,0.63,0,14.45,27227,low income,Control
19644500000000_3669,1962,0.22,39.89,0.61,0,23.3,57321,low income,Control
19646300000000_221,1962,0.23,38.67,0.57,0,27.7,48250,low income,Control
43700000000000_69,1962,0.09,29.67,0.63,0,13.85,70966,medium income,Control
40700000000000_169,1962,0.13,28.36,0.61,0,23.5,89531,medium income,Control
10600000000000_238,1962,0.18,28.17,0.57,0,22.9,78611,medium income,Control
7620000000000_252,1962,0.12,30.86,0.63,0,33.6,98281,medium income,Control
42700000000000_405,1962,0.12,28.54,0.63,0,17.4,64085,medium income,Control
10600000000000_465,1962,0.13,30.67,0.63,0,35.8,63616,medium income,Control
14632700000000_2180,1962,0.08,47.55,0.57,0,13.45,73259,medium income,Control
19648400000000_1489,1962,0.17,40.35,0.61,0,20.6,60595,medium income,Control
19648400000000_1488,1962,0.19,39.72,0.63,0,20.6,60595,medium income,Control
36677100000000_2903,1962,0.24,39.77,0.63,0,39.7,80500,medium income,Control
19647700000000_2242,1962,0.25,39.14,0.63,0,8.25,65179,medium income,Control
19643800000000_3675,1962,0.26,37.97,0.63,0,13.5,80662,medium income,Control
36678800000000_247,1962,0.27,39.65,0.63,0,39.6,59250,medium income,Control
19650400000000_1318,1962,0.27,38.15,0.63,0,25.4,71750,medium income,Control
36679000000000_2466,1962,0.27,37.42,0.47,0,21.95,94875,medium income,Control
30666200000000_3855,1962,0.29,39.03,0.56,0,14.65,91263,medium income,Control
56737600000000_2593,1962,0.31,36.16,0.61,0,9.45,83194,medium income,Control
19734600000000_1846,1962,0.35,37.16,0.61,0,2.25,98092,medium income,Control
56726500000000_320,1962,0.25,32.8,0.63,0,15.15,100227,medium income,Control
7620000000000_37,1962,0.2,27.08,0.56,1,6.25,159167,high income,Prop. 39
1610000000000_418,1962,0.12,30.39,0.47,1,4.3,131724,high income,Prop. 39
19647300000000_1868,1962,0.3,37.42,0.63,1,13.85,116964,high income,Prop. 39
33751900000000_3420,1962,0.34,36.6,0.61,1,18.3,117963,high income,Prop. 39
26736900000000_1830,1962,0.35,29.47,0.63,1,9.5,204202,high income,Prop. 39
54700000000000_318,1962,0.17,29.39,0.57,1,19.45,52688,low income,Prop. 39
36678500000000_1526,1962,0.23,40.17,0.47,1,26.6,70694,medium income,Prop. 39
19649100000000_173,1962,0.27,38.08,0.63,1,36.4,72778,medium income,Prop. 39
19649100000000_1616,1962,0.27,38.14,0.63,1,42.65,83590,medium income,Prop. 39
19650600000000_3709,1962,0.27,35.61,0.63,1,5.15,92375,medium income,Prop. 39
19647300000000_3810,1962,0.27,35.91,0.63,1,22.3,82738,medium income,Prop. 39
30665600000000_1356,1962,0.28,38.53,0.63,1,6.9,108162,medium income,Prop. 39
43700000000000_40,1963,0.13,29.08,0.63,0,2.15,176750,high income,Control
9620000000000_111,1963,0.23,25.49,0.63,0,13.15,160438,high income,Control
43700000000000_212,1963,0.12,28.89,0.63,0,6.7,185795,high income,Control
30666500000000_455,1963,0.28,38.83,0.63,0,13.7,124583,high income,Control
30666500000000_456,1963,0.28,38.83,0.63,0,13.7,124583,high income,Control
56737600000000_612,1963,0.36,34.35,0.63,0,3.6,162262,high income,Control
4610000000000_82,1963,0.16,29.17,0.63,0,14.45,45278,low income,Control
56725400000000_2579,1963,0.22,35.86,0.58,0,31.7,57891,low income,Control
19734400000000_1874,1963,0.24,38.96,0.61,0,20.15,27209,low income,Control
33670900000000_783,1963,0.27,39.08,0.61,0,26.1,57969,low income,Control
1610000000000_3,1963,0.16,31.64,0.56,0,13.8,74788,medium income,Control
31700000000000_12,1963,0.22,26.83,0.63,0,5.85,97604,medium income,Control
1610000000000_200,1963,0.14,27.45,0.57,0,6.95,79525,medium income,Control
10600000000000_468,1963,0.15,29.39,0.63,0,38.65,74219,medium income,Control
30666200000000_3379,1963,0.19,40.14,0.56,0,22.5,95833,medium income,Control
16639250000000_743,1963,0.21,40.26,0.56,0,19.15,79138,medium income,Control
19645500000000_2933,1963,0.21,40.03,0.61,0,12.1,81295,medium income,Control
19642900000000_2661,1963,0.22,39.33,0.61,0,16.75,93704,medium income,Control
19642900000000_956,1963,0.23,39.76,0.63,0,29.6,68365,medium income,Control
19734600000000_3588,1963,0.25,38.58,0.63,0,6.05,87688,medium income,Control
30665200000000_1294,1963,0.26,37.76,0.63,0,9.2,87857,medium income,Control
1610000000000_416,1963,0.14,29.33,0.56,1,18,153494,high income,Prop. 39
33751900000000_3414,1963,0.34,36.6,0.63,1,18.3,117963,high income,Prop. 39
30666700000000_646,1963,0.26,37.49,0.63,1,18.8,81330,medium income,Prop. 39
19645000000000_1686,1963,0.26,40.27,0.63,1,18,59621,medium income,Prop. 39
56737600000000_1620,1964,0.33,37.52,0.63,0,12.3,112083,high income,Control
54718520000000_2169,1964,0.53,33.09,0.63,0,2.9,155805,high income,Control
10600000000000_482,1964,0.13,31.35,0.63,0,44.25,31250,low income,Control
36676100000000_184,1964,0.1,42.3,0.47,0,48.2,24438,low income,Control
36676100000000_185,1964,0.1,42.3,0.56,0,48.2,24438,low income,Control
36676100000000_183,1964,0.11,42.05,0.47,0,48.2,24438,low income,Control
54720700000000_2221,1964,0.25,40.09,0.47,0,28.3,38515,low income,Control
36678800000000_1316,1964,0.26,39.14,0.63,0,38.75,48940,low income,Control
56724600000000_1325,1964,0.27,33.91,0.63,0,29.85,53863,low income,Control
19651100000000_1760,1964,0.31,37.47,0.63,0,33.45,50958,low income,Control
19650450000000_799,1964,0.19,42.03,0.47,0,15.25,80114,medium income,Control
36678400000000_480,1964,0.26,40.53,0.63,0,21.2,75820,medium income,Control
19647200000000_1645,1964,0.26,38.98,0.63,0,40.1,87000,medium income,Control
19651100000000_2423,1964,0.28,39.45,0.61,0,17.45,66591,medium income,Control
33751800000000_3754,1964,0.28,39.84,0.63,0,23.8,84167,medium income,Control
48700000000000_21,1964,0.17,29.64,0.63,0,15.45,101750,medium income,Control
48700000000000_312,1964,0.18,29.7,0.63,0,16.5,101750,medium income,Control
48700000000000_313,1964,0.17,29.64,0.63,0,15.45,101750,medium income,Control
30665200000000_488,1964,0.24,37.08,0.63,0,21.15,100071,medium income,Control
56726000000000_231,1964,0.3,41.42,0.63,0,11.6,103438,medium income,Control
56725500000000_812,1964,0.29,37.02,0.63,1,21.4,118824,high income,Prop. 39
33751900000000_3413,1964,0.34,36.6,0.63,1,18.3,117963,high income,Prop. 39
19647300000000_1625,1964,0.25,37.33,0.63,1,32.95,50991,low income,Prop. 39
19650600000000_785,1964,0.22,36.98,0.47,1,8.65,91042,medium income,Prop. 39
19642500000000_2863,1964,0.23,40.06,0.47,1,17.4,73125,medium income,Prop. 39
19642500000000_2864,1964,0.23,39.92,0.47,1,17.4,88255,medium income,Prop. 39
19650600000000_1500,1964,0.24,36.55,0.61,1,2,89398,medium income,Prop. 39
30665600000000_885,1964,0.31,39.47,0.58,1,20.35,74688,medium income,Prop. 39
19646600000000_2762,1964,0.43,36.1,0.63,1,3.4,104362,medium income,Prop. 39
43700000000000_178,1965,0.12,29.28,0.63,0,5,249519,high income,Control
43700000000000_328,1965,0.13,29.92,0.61,0,11.5,234643,high income,Control
30664800000000_2,1965,0.22,38.01,0.63,0,12.6,115482,high income,Control
56726000000000_129,1965,0.23,40.02,0.63,0,28.25,123958,high income,Control
30665300000000_2127,1965,0.23,33.86,0.63,0,13.85,147979,high income,Control
30666100000000_468,1965,0.24,36.98,0.61,0,8.5,127607,high income,Control
19734600000000_529,1965,0.24,37.72,0.63,0,4.95,124176,high income,Control
19644400000000_1950,1965,0.24,38.95,0.61,0,17.2,142727,high income,Control
30666100000000_527,1965,0.25,36.14,0.63,0,19.3,133438,high income,Control
30666100000000_467,1965,0.26,36.2,0.63,0,8.5,133438,high income,Control
19644400000000_2541,1965,0.26,38.61,0.63,0,15.05,129250,high income,Control
30666100000000_528,1965,0.27,35.77,0.63,0,19.3,122778,high income,Control
19647700000000_2473,1965,0.27,37.97,0.63,0,3.5,118125,high income,Control
56726000000000_225,1965,0.28,39.98,0.63,0,27.2,110547,high income,Control
56737600000000_2220,1965,0.3,36.53,0.63,0,23.25,121458,high income,Control
19734600000000_530,1965,0.31,37.22,0.63,0,4.95,136406,high income,Control
56737600000000_2920,1965,0.33,37.72,0.63,0,11.5,113750,high income,Control
30666200000000_414,1965,0.34,37.35,0.63,0,12.55,216290,high income,Control
56737600000000_3721,1965,0.35,38.41,0.61,0,4.35,239917,high income,Control
19649800000000_3697,1965,0.36,33.66,0.63,0,9.3,153750,high income,Control
19646800000000_50,1965,0.37,36.77,0.63,0,10.15,136336,high income,Control
42691600000000_497,1965,0.56,29.72,0.61,0,3.7,212708,high income,Control
4610000000000_86,1965,0.17,28.86,0.47,0,20.4,39667,low income,Control
39700000000000_163,1965,0.07,30.77,0.56,0,70.1,31467,low income,Control
39700000000000_279,1965,0.13,30.88,0.63,0,32.15,48176,low income,Control
20700000000000_294,1965,0.17,30.03,0.63,0,30.15,38828,low income,Control
15600000000000_428,1965,0.15,32.58,0.57,0,34.15,46563,low income,Control
10600000000000_455,1965,0.15,30.02,0.63,0,50.7,53553,low income,Control
10600000000000_496,1965,0.15,30.58,0.63,0,35,47759,low income,Control
39700000000000_515,1965,0.21,27.39,0.63,0,29.65,41250,low income,Control
14632700000000_2141,1965,0.09,42.78,0.56,0,16.75,58000,low income,Control
36676100000000_1689,1965,0.11,42.42,0.56,0,50.8,24438,low income,Control
19645010000000_694,1965,0.18,39.52,0.63,0,13.65,46667,low income,Control
33103300000000_2987,1965,0.22,44.03,0.46,0,50.75,46667,low income,Control
54720700000000_2301,1965,0.26,40.16,0.47,0,41.05,38515,low income,Control
19645300000000_836,1965,0.28,39.08,0.63,0,23.7,44654,low income,Control
54722600000000_3794,1965,0.3,37.55,0.63,0,40.7,49216,low income,Control
43700000000000_70,1965,0.1,29.42,0.61,0,6.05,59635,medium income,Control
27700000000000_232,1965,0.12,23.3,0.63,0,38.25,89506,medium income,Control
36676100000000_592,1965,0.1,41.28,0.57,0,66.2,68105,medium income,Control
36676100000000_593,1965,0.1,41.72,0.63,0,66.2,68105,medium income,Control
36676100000000_591,1965,0.11,42.41,0.56,0,66.2,64625,medium income,Control
36676100000000_594,1965,0.11,42.41,0.63,0,66.2,64625,medium income,Control
9765960000000_2479,1965,0.14,37.46,0.47,0,24.35,85856,medium income,Control
19648100000000_1207,1965,0.16,40.27,0.61,0,28.8,80147,medium income,Control
33671200000000_111,1965,0.2,39.72,0.57,0,28.9,80086,medium income,Control
30665200000000_2865,1965,0.22,37.58,0.63,0,15.3,68294,medium income,Control
19646300000000_216,1965,0.23,38.67,0.63,0,27.7,100368,medium income,Control
33103300000000_723,1965,0.23,38.61,0.56,0,49.2,76719,medium income,Control
36679000000000_2418,1965,0.24,37.26,0.47,0,35.35,81016,medium income,Control
19648400000000_2588,1965,0.24,38.52,0.63,0,18.15,94516,medium income,Control
36678200000000_124,1965,0.25,38.91,0.63,0,16.85,89943,medium income,Control
36678200000000_127,1965,0.25,38.91,0.63,0,16.85,89943,medium income,Control
33670800000000_3568,1965,0.25,39.23,0.63,0,35.4,65323,medium income,Control
36678800000000_606,1965,0.26,41.28,0.63,0,33.85,63170,medium income,Control
30666500000000_3065,1965,0.26,39.67,0.56,0,24.15,67821,medium income,Control
19642800000000_2136,1965,0.29,38.36,0.63,0,32.45,94405,medium income,Control
54722300000000_1086,1965,0.3,38.8,0.63,0,27.35,79659,medium income,Control
30736500000000_1392,1965,0.31,36.86,0.56,0,5.2,89398,medium income,Control
19651100000000_3658,1965,0.35,37.01,0.63,0,15.8,81128,medium income,Control
4610000000000_87,1965,0.15,29.55,0.63,0,20.4,107462,medium income,Control
7620000000000_255,1965,0.12,31.08,0.63,0,18.3,109071,medium income,Control
19734600000000_3657,1965,0.26,38.39,0.63,0,5.9,103750,medium income,Control
36678400000000_3249,1965,0.34,37.33,0.61,0,20.9,100466,medium income,Control
30665000000000_2114,1965,0.24,35.7,0.63,1,23.45,136188,high income,Prop. 39
36676800000000_1315,1965,0.28,35.89,0.63,1,24.05,133047,high income,Prop. 39
30665600000000_3219,1965,0.29,39.95,0.63,1,19.2,120278,high income,Prop. 39
33751900000000_3406,1965,0.34,36.6,0.63,1,18.3,117963,high income,Prop. 39
30736400000000_128,1965,0.4,34.79,0.63,1,6.4,132656,high income,Prop. 39
19647300000000_2923,1965,0.2,37.97,0.46,1,93.25,56136,low income,Prop. 39
19649100000000_123,1965,0.24,39.08,0.63,1,37.35,39315,low income,Prop. 39
19643500000000_1701,1965,0.17,38.67,0.46,1,17.4,61292,medium income,Prop. 39
19645000000000_835,1965,0.23,38.64,0.56,1,12.5,72292,medium income,Prop. 39
19650500000000_3306,1965,0.23,42.15,0.56,1,13,90000,medium income,Prop. 39
30665600000000_3689,1965,0.23,39.98,0.47,1,8.6,87000,medium income,Prop. 39
56725500000000_2789,1965,0.24,36.47,0.61,1,23.3,97431,medium income,Prop. 39
19649100000000_125,1965,0.27,38.61,0.63,1,37.35,79138,medium income,Prop. 39
19649100000000_126,1965,0.27,38.61,0.63,1,37.35,79138,medium income,Prop. 39
36678500000000_212,1965,0.28,38.92,0.63,1,28.4,85577,medium income,Prop. 39
16639200000000_2548,1965,0.28,40.42,0.63,1,24.5,64184,medium income,Prop. 39
16638800000000_113,1965,0.29,38.34,0.63,1,27.05,82500,medium income,Prop. 39
19734500000000_3127,1965,0.29,39.37,0.63,1,75.3,79028,medium income,Prop. 39
16638800000000_112,1965,0.31,37.91,0.63,1,27.05,82500,medium income,Prop. 39
30736400000000_3098,1965,0.31,37.09,0.63,1,21.9,83932,medium income,Prop. 39
30666700000000_1456,1965,0.26,38.09,0.61,1,22.3,101739,medium income,Prop. 39
30666700000000_1457,1965,0.26,38.09,0.63,1,22.3,101739,medium income,Prop. 39
33670300000000_1099,1965,0.3,37.3,0.63,1,15.75,109519,medium income,Prop. 39
43700000000000_67,1966,0.13,27.96,0.63,0,4.05,167269,high income,Control
1750000000000_240,1966,0.14,28.58,0.63,0,13.05,130729,high income,Control
30665500000000_1037,1966,0.24,35.55,0.63,0,8,122054,high income,Control
33671200000000_1276,1966,0.27,37.16,0.63,0,23.6,118780,high income,Control
30666500000000_888,1966,0.28,38.97,0.63,0,11.35,127241,high income,Control
56726000000000_1525,1966,0.28,40.45,0.63,0,18.65,115917,high income,Control
56737600000000_3693,1966,0.31,37.3,0.61,0,10.5,179125,high income,Control
56737600000000_167,1966,0.32,37.41,0.63,0,6.5,113750,high income,Control
56737600000000_166,1966,0.33,36.6,0.63,0,6.5,175893,high income,Control
19648100000000_1095,1966,0.21,39.03,0.63,0,19.85,53500,low income,Control
42700000000000_29,1966,0.19,26.92,0.61,0,22.2,98429,medium income,Control
19734400000000_1759,1966,0.23,41.05,0.63,0,15.8,58949,medium income,Control
30666200000000_889,1966,0.24,39.8,0.47,0,16.55,74205,medium income,Control
33670900000000_1989,1966,0.27,38.86,0.63,0,27.05,88098,medium income,Control
19648400000000_1487,1966,0.28,37.08,0.63,0,15.4,88182,medium income,Control
33670900000000_3245,1966,0.25,39.46,0.63,0,19.65,107971,medium income,Control
19647300000000_1836,1966,0.24,36.27,0.63,1,24.7,118516,high income,Prop. 39
36676000000000_72,1966,0.3,36.36,0.63,1,14.7,134130,high income,Prop. 39
54700000000000_243,1966,0.1,37.29,0.47,1,39.25,39000,low income,Prop. 39
19647300000000_3763,1966,0.17,37.98,0.47,1,34.45,44432,low income,Prop. 39
56768300000000_1180,1966,0.2,37.35,0.46,1,26.1,54583,low income,Prop. 39
16639200000000_3023,1966,0.24,40.54,0.63,1,22.25,56976,low income,Prop. 39
56725500000000_427,1966,0.25,34.55,0.47,1,24.45,35568,low income,Prop. 39
56725500000000_428,1966,0.26,33.98,0.56,1,24.45,35568,low income,Prop. 39
36678500000000_1946,1966,0.21,41.14,0.47,1,33.55,69583,medium income,Prop. 39
30736400000000_2445,1966,0.26,39.27,0.63,1,17.6,94704,medium income,Prop. 39
33670300000000_1724,1966,0.28,38.05,0.63,1,13.2,71337,medium income,Prop. 39
19647300000000_1305,1966,0.29,38.21,0.63,1,14.95,103958,medium income,Prop. 39
43700000000000_74,1967,0.11,28.82,0.63,0,8.1,112014,high income,Control
42767900000000_815,1967,0.23,35.3,0.63,0,11.9,153030,high income,Control
30665200000000_2983,1967,0.28,37.22,0.63,0,26.3,121042,high income,Control
42767900000000_813,1967,0.3,35.17,0.63,0,11.9,110882,high income,Control
56737600000000_2273,1967,0.3,36.53,0.63,0,20.65,121458,high income,Control
56739400000000_2783,1967,0.31,36.2,0.63,0,11.15,123712,high income,Control
30736500000000_3537,1967,0.35,36.41,0.61,0,16.1,185417,high income,Control
30736500000000_3538,1967,0.35,36.41,0.63,0,16.1,112344,high income,Control
30666000000000_10,1967,0.36,31.78,0.63,0,17.9,180781,high income,Control
30736500000000_3536,1967,0.36,36.21,0.63,0,16.1,117100,high income,Control
30666500000000_3470,1967,0.37,34.89,0.63,0,10.7,142647,high income,Control
30666000000000_7,1967,0.38,31.59,0.63,0,17.9,184936,high income,Control
42700000000000_400,1967,0.12,28.8,0.63,0,16.9,50000,low income,Control
